"pack","used","x","y"
"Red Deer",0,580357.297908191,5722188.18963047
"Red Deer",0,591961.869470256,5708392.16955606
"Red Deer",0,572961.697005271,5710171.22903982
"Red Deer",0,571992.198318492,5694603.61834295
"Red Deer",0,577091.947584801,5745752.88060949
"Red Deer",0,587520.998925678,5712805.0039028
"Red Deer",0,565857.552628583,5710384.79405916
"Red Deer",0,563809.124375191,5727613.54706622
"Red Deer",0,561978.297076736,5688997.50433842
"Red Deer",0,595104.166628305,5736564.57403014
"Red Deer",0,571272.973116442,5736430.80088836
"Red Deer",0,558672.223205663,5699932.68125548
"Red Deer",0,555154.497215595,5714331.57928782
"Red Deer",0,573252.391967825,5714299.5056624
"Red Deer",0,571401.19953008,5716722.30234106
"Red Deer",0,586388.07190673,5733354.0637584
"Red Deer",0,554126.286258432,5704051.92677149
"Red Deer",0,560115.043982177,5726552.1104304
"Red Deer",0,590950.159069592,5712516.03633526
"Red Deer",0,589147.210094769,5741861.36043191
"Red Deer",0,568363.978453196,5725146.21112127
"Red Deer",0,569301.972473851,5733239.30801631
"Red Deer",0,585440.820123333,5731802.90994863
"Red Deer",0,597439.868756108,5731490.48435132
"Red Deer",0,602750.480742515,5712588.05619799
"Red Deer",0,607840.257509993,5724476.61558266
"Red Deer",0,591943.185930664,5728455.82265852
"Red Deer",0,575211.195664349,5705070.93891842
"Red Deer",0,570305.84888624,5721703.71587427
"Red Deer",0,576921.973767564,5717618.54756251
"Red Deer",0,586303.275772676,5720551.76887345
"Red Deer",0,548968.596070287,5718671.06573102
"Red Deer",0,585555.684219036,5726128.12682134
"Red Deer",0,580044.491587006,5741342.13889753
"Red Deer",0,595404.789480409,5725581.57225061
"Red Deer",0,568298.449015679,5725676.99898331
"Red Deer",0,582073.367012402,5718928.71844174
"Red Deer",0,581716.759087993,5710762.33935071
"Red Deer",0,569044.426324164,5711465.30858756
"Red Deer",0,594624.940008029,5717241.25736529
"Red Deer",0,586120.730722924,5722643.560193
"Red Deer",0,563454.164350418,5695135.52401612
"Red Deer",0,580803.759726142,5740902.46667403
"Red Deer",0,576220.46319032,5733545.97690663
"Red Deer",0,571651.132367647,5729663.06809662
"Red Deer",0,585666.61370328,5712627.14613891
"Red Deer",0,595781.585276917,5739134.82043002
"Red Deer",0,560907.407375695,5691370.76301376
"Red Deer",0,561947.702129977,5695191.91516226
"Red Deer",0,594900.423449076,5724713.7460564
"Red Deer",0,594075.870509352,5732635.85688695
"Red Deer",0,593683.051047178,5717845.29399016
"Red Deer",0,582897.890871008,5712960.03961886
"Red Deer",0,580116.165284364,5725190.41939132
"Red Deer",0,554841.100839436,5716903.72533398
"Red Deer",0,573825.46938808,5700020.7730475
"Red Deer",0,570814.862958448,5695828.05148573
"Red Deer",0,608706.880039893,5724271.70106415
"Red Deer",0,550418.355823403,5721489.96652618
"Red Deer",0,599130.298661227,5719949.56238205
"Red Deer",0,554427.054622484,5713425.26549789
"Red Deer",0,556591.389029783,5697280.35331461
"Red Deer",0,600116.017364399,5716642.29309306
"Red Deer",0,567258.303359105,5727747.1318704
"Red Deer",0,603253.951822951,5716438.14279268
"Red Deer",0,571998.7402178,5710148.63139357
"Red Deer",0,572936.020186091,5725636.45337612
"Red Deer",0,576045.41354805,5713265.9879969
"Red Deer",0,587874.193829902,5722267.56375779
"Red Deer",0,559608.576589364,5712912.64783736
"Red Deer",0,554857.414738915,5718036.91618366
"Red Deer",0,583360.949909028,5731765.59547364
"Red Deer",0,559326.761623701,5717754.44337411
"Red Deer",0,584273.135622523,5712397.44091458
"Red Deer",0,594688.398335114,5726679.01204503
"Red Deer",0,552675.56998875,5721694.41551712
"Red Deer",0,559457.635269941,5684755.56396226
"Red Deer",0,574640.702847455,5718747.03550002
"Red Deer",0,593727.412758205,5717807.60994941
"Red Deer",0,568952.26674162,5738423.14449016
"Red Deer",0,580585.139746948,5700260.35208229
